held_out_category,novel_recall,known_attack_recall,true_negative_rate,overall_macro_f1,overall_mcc,overall_fpr
DoS,0.17238709677419356,0.9913289683241904,0.9955975588859451,0.8140786696713569,0.6702858867576689,0.004402441114054859
DDoS,0.4358523725834798,0.9754830917874396,0.9892706974046687,0.907682895265099,0.8203759558781819,0.010729302595331303
PortScan,0.16666666666666666,0.9798844104180741,0.989890202591377,0.9761709770038236,0.9525125182703593,0.010109797408622985
Brute Force,0.0,0.9812811660912927,0.9893893260574427,0.9691246193137566,0.9382837864359311,0.01061067394255737
Web Attack,0.011627906976744186,0.9851295531355614,0.9887830018321536,0.9755330440243992,0.9513556630946254,0.011216998167846362
