model,macro_f1,mcc,accuracy,precision,recall,false_positive_rate,false_negative_rate,roc_auc,ece,tp,fp,tn,fn
LinearSVC,0.4172685358029529,0.24978891541308493,0.42731998028408835,0.20596167937265172,0.9858219535855534,0.6713327270091081,0.014178046414446683,0.9363336793559471,0.5134358945436952,13211,50932,24935,190
IsolationForest,0.7966070845340261,0.5983057842508518,0.8869583725411122,0.6010995723885155,0.7342735616745019,0.08607167806819829,0.2657264383254981,0.8416985408447519,0.0883003832244556,9840,6530,69337,3561
HybridStack,0.9764211791600592,0.9531373698917788,0.9877559707846036,0.940389294403893,0.9805984628012835,0.010979740862298496,0.019401537198716515,0.9986091041521162,0.011814578544696516,13141,833,75034,260
